,날짜,전체도시이름,도단위이름,시군구이름,최소기온,최대기온,오전날씨,오전비확률,오후날씨,오후비확률,관광지수,관광지표
472,2023-04-27,경기 광명시,경기,광명시,10.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
473,2023-04-27,경기 구리시,경기,구리시,7.0,22.0,구름많음,30%,흐림,40%,-0.31,나쁨
474,2023-04-27,전북 무주군,전북,무주군,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
475,2023-04-27,충남 논산시,충남,논산시,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
476,2023-04-27,세종 세종시,세종,연기면,6.0,23.0,구름많음,30%,흐림,40%,-0.4,나쁨
477,2023-04-27,경기 광주시,경기,광주시,6.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
478,2023-04-27,울산 울주군,울산,울주군,9.0,21.0,구름많음,30%,흐림,40%,-0.29,나쁨
479,2023-04-27,경기 광주시,경기,광주시,9.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
480,2023-04-27,울산 동구,울산,동구,9.0,21.0,구름많음,30%,흐림,40%,-0.45,나쁨
481,2023-04-27,전남 여수시,전남,여수시,12.0,19.0,구름많음,30%,흐림,40%,-0.11,보통
482,2023-04-27,서울 은평구,서울,은평구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
483,2023-04-27,서울 중랑구,서울,중랑구,9.0,21.0,구름많음,30%,흐림,40%,-0.35,나쁨
484,2023-04-27,경기 수원시,경기,수원시,7.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
485,2023-04-27,전북 정읍시,전북,정읍시,8.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
486,2023-04-27,서울 양천구,서울,양천구,9.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
487,2023-04-27,전북 익산시,전북,익산시,6.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
488,2023-04-27,경기 시흥시,경기,시흥시,7.0,21.0,구름많음,30%,흐림,40%,-0.47,나쁨
489,2023-04-27,경기 안산시,경기,안산시,7.0,22.0,구름많음,30%,흐림,40%,-0.41,나쁨
490,2023-04-27,서울 영등포구,서울,영등포구,9.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
491,2023-04-27,전북 전주시,전북,전주시,9.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
