전체도시이름,도단위이름,시군구이름,기온코드,육상코드,투어코드
대구 서구,대구,서구,,,2717000000
대전 서구,대전,서구,,,3017000000
부산 서구,부산,서구,,,2614000000
인천 서구,인천,서구,,,2826000000
광주 서구,광주,서구,,,2914000000
대구 수성구,대구,수성구,,,2726000000
대구 중구,대구,중구,,,2711000000
대전 중구,대전,중구,,,3014000000
부산 중구,부산,중구,,,2611000000
서울 중구,서울,중구,,,1114000000
울산 중구,울산,중구,,,3111000000
인천 중구,인천,중구,,,2811000000
대전 대덕구,대전,대덕구,,,3023000000
대전 동구,대전,동구,,,3011000000
부산 동구,부산,동구,,,2617000000
울산 동구,울산,동구,,,3117000000
인천 동구,인천,동구,,,2814000000
광주 동구,광주,동구,,,2911000000
대구 동구,대구,동구,,,2714000000
대전 유성구,대전,유성구,,,3020000000
부산 강서구,부산,강서구,,,2644000000
서울 강서구,서울,강서구,,,1150000000
부산 금정구,부산,금정구,,,2641000000
부산 기장군,부산,기장군,,,2671000000
부산 남구,부산,남구,,,2629000000
울산 남구,울산,남구,,,3114000000
인천 남구,인천,남구,,,2817000000
광주 남구,광주,남구,,,2915500000
대구 남구,대구,남구,,,2720000000
부산 동래구,부산,동래구,,,2626000000
부산 부산진구,부산,부산진구,,,2623000000
부산 북구,부산,북구,,,2632000000
울산 북구,울산,북구,,,3120000000
광주 북구,광주,북구,,,2917000000
대구 북구,대구,북구,,,2723000000
부산 사상구,부산,사상구,,,2653000000
부산 사하구,부산,사하구,,,2638000000
부산 수영구,부산,수영구,,,2650000000
부산 연제구,부산,연제구,,,2647000000
부산 영도구,부산,영도구,,,2620000000
부산 해운대구,부산,해운대구,,,2635000000
서울 강남구,서울,강남구,,,1168000000
서울 강동구,서울,강동구,,,1174000000
서울 강북구,서울,강북구,,,1130500000
서울 관악구,서울,관악구,,,1162000000
서울 광진구,서울,광진구,,,1121500000
서울 구로구,서울,구로구,,,1153000000
서울 금천구,서울,금천구,,,1154500000
서울 노원구,서울,노원구,,,1135000000
서울 도봉구,서울,도봉구,,,1132000000
서울 동대문구,서울,동대문구,,,1123000000
서울 동작구,서울,동작구,,,1159000000
서울 마포구,서울,마포구,,,1144000000
서울 서대문구,서울,서대문구,,,1141000000
서울 서초구,서울,서초구,,,1165000000
서울 성동구,서울,성동구,,,1120000000
서울 성북구,서울,성북구,,,1129000000
서울 송파구,서울,송파구,,,1171000000
서울 양천구,서울,양천구,,,1147000000
서울 영등포구,서울,영등포구,,,1156000000
서울 용산구,서울,용산구,,,1117000000
서울 은평구,서울,은평구,,,1138000000
서울 종로구,서울,종로구,,,1111000000
서울 중랑구,서울,중랑구,,,1126000000
세종 세종시,세종,연기면,,,3611031000
울산 울주군,울산,울주군,,,3171000000
인천 강화군,인천,강화군,11B20101,11B00000,2871000000
인천 계양구,인천,계양구,,,2824500000
인천 남동구,인천,남동구,,,2820000000
인천 부평구,인천,부평구,,,2823700000
인천 연수구,인천,연수구,,,2818500000
인천 옹진군,인천,옹진군,,,2872000000
전남 강진군,전남,강진군,11F20303,11F20000,4681000000
전남 고흥군,전남,고흥군,11F20403,11F20000,4677000000
전남 곡성군,전남,곡성군,11F20602,11F20000,4672000000
전남 광양시,전남,광양시,11F20402,11F20000,4623000000
전남 구례군,전남,구례군,11F20601,11F20000,4673000000
전남 나주시,전남,나주시,11F20503,11F20000,4617000000
전남 담양군,전남,담양군,11F20504,11F20000,4671000000
전남 목포시,전남,목포시,21F20801,,4611000000
전남 무안군,전남,무안군,21F20804,,4684000000
전남 보성군,전남,보성군,11F20404,11F20000,4678000000
전남 순천시,전남,순천시,11F20603,11F20000,4615000000
전남 신안군,전남,신안군,21F20803,,4691000000
전남 여수시,전남,여수시,11F20401,11F20000,4613000000
전남 영광군,전남,영광군,21F20102,,4687000000
전남 영암군,전남,영암군,21F20802,,4683000000
전남 완도군,전남,완도군,11F20301,11F20000,4689000000
전남 장성군,전남,장성군,11F20502,11F20000,4688000000
전남 장흥군,전남,장흥군,11F20304,11F20000,4680000000
전남 진도군,전남,진도군,21F20201,,4690000000
전남 함평군,전남,함평군,21F20101,,4686000000
전남 해남군,전남,해남군,11F20302,11F20000,4682000000
전남 화순군,전남,화순군,11F20505,11F20000,4679000000
전북 고창군,전북,고창군,21F10601,,4579000000
전북 군산시,전북,군산시,21F10501,,4513000000
전북 김제시,전북,김제시,21F10502,,4521000000
전북 남원시,전북,남원시,11F10401,11F10000,4519000000
전북 무주군,전북,무주군,11F10302,11F10000,4573000000
전북 부안군,전북,부안군,21F10602,,4580000000
전북 순창군,전북,순창군,11F10403,11F10000,4577000000
전북 완주군,전북,완주군,11F10204,11F10000,4571000000
전북 익산시,전북,익산시,11F10202,11F10000,4514000000
전북 임실군,전북,임실군,11F10402,11F10000,4575000000
전북 장수군,전북,장수군,11F10301,11F10000,4574000000
전북 전주시,전북,전주시,11F10201,11F10000,4511100000
전북 정읍시,전북,정읍시,11F10203,11F10000,4518000000
전북 진안군,전북,진안군,11F10303,11F10000,4572000000
제주 서귀포시,제주,서귀포시,11G00401,11G00000,5013000000
제주 제주시,제주,제주시,11G00201,11G00000,5011000000
충남 계룡시,충남,계룡시,11C20403,11C20000,4425000000
충남 공주시,충남,공주시,11C20402,11C20000,4415000000
충남 금산군,충남,금산군,11C20601,11C20000,4471000000
충남 논산시,충남,논산시,11C20602,11C20000,4423000000
충남 당진시,충남,당진시,11C20103,11C20000,4427000000
충남 보령시,충남,보령시,11C20201,11C20000,4418000000
충남 부여군,충남,부여군,11C20501,11C20000,4476000000
충남 서산시,충남,서산시,11C20101,11C20000,4421000000
충남 서천군,충남,서천군,11C20202,11C20000,4477000000
충남 아산시,충남,아산시,11C20302,11C20000,4420000000
충남 예산군,충남,예산군,11C20303,11C20000,4481000000
충남 천안시,충남,천안시,11C20301,11C20000,4413100000
충남 청양군,충남,청양군,11C20502,11C20000,4479000000
충남 태안군,충남,태안군,11C20102,11C20000,4482500000
충남 홍성군,충남,홍성군,11C20104,11C20000,4480000000
충북 괴산군,충북,괴산군,11C10303,11C10000,4376000000
충북 단양군,충북,단양군,11C10202,11C10000,4380000000
충북 보은군,충북,보은군,11C10302,11C10000,4372000000
충북 영동군,충북,영동군,11C10402,11C10000,4374000000
충북 옥천군,충북,옥천군,11C10403,11C10000,4373000000
충북 음성군,충북,음성군,11C10103,11C10000,4377000000
충북 제천시,충북,제천시,11C10201,11C10000,4315000000
충북 증평군,충북,증평군,11C10304,11C10000,4374500000
충북 진천군,충북,진천군,11C10102,11C10000,4375000000
충북 청주시,충북,청주시,11C10301,11C10000,4311100000
충북 충주시,충북,충주시,11C10101,11C10000,4313000000
충북 청원군,충북,청원군,,,4311400000
강원 강릉시,강원,강릉시,11D20501,11D20000,4215000000
강원 고성군,강원,고성군,11D20402,11D20000,4282000000
강원 고성군,강원,고성군,11H20404,11H20000,4282000000
경남 고성군,경남,고성군,11D20402,11D20000,4882000000
경남 고성군,경남,고성군,11H20404,11H20000,4882000000
강원 동해시,강원,동해시,11D20601,11D20000,4217000000
강원 삼척시,강원,삼척시,11D20602,11D20000,4223000000
강원 속초시,강원,속초시,11D20401,11D20000,4221000000
강원 양구군,강원,양구군,11D10202,11D10000,4280000000
강원 양양군,강원,양양군,11D20403,11D20000,4283000000
강원 영월군,강원,영월군,11D10501,11D10000,4275000000
강원 원주시,강원,원주시,11D10401,11D10000,4213000000
강원 인제군,강원,인제군,11D10201,11D10000,4281000000
강원 정선군,강원,정선군,11D10502,11D10000,4277000000
강원 철원군,강원,철원군,11D10101,11D10000,4278000000
강원 춘천시,강원,춘천시,11D10301,11D10000,4211000000
강원 태백시,강원,태백시,11D20301,11D20000,4219000000
강원 평창군,강원,평창군,11D10503,11D10000,4276000000
강원 홍천군,강원,홍천군,11D10302,11D10000,4272000000
강원 화천군,강원,화천군,11D10102,11D10000,4279000000
강원 횡성군,강원,횡성군,11D10402,11D10000,4273000000
경기 가평군,경기,가평군,11B20404,11B00000,4182000000
경기 고양시,경기,고양시,11B20302,11B00000,4128100000
경기 과천시,경기,과천시,11B10102,11B00000,4129000000
경기 광명시,경기,광명시,11B10103,11B00000,4121000000
경기 광주시,경기,광주시,11B20702,11B00000,4161000000
경기 광주시,경기,광주시,11F20501,11F20000,4161000000
경기 구리시,경기,구리시,11B20501,11B00000,4131000000
경기 군포시,경기,군포시,11B20610,11B00000,4141000000
경기 김포시,경기,김포시,11B20102,11B00000,4157000000
경기 남양주시,경기,남양주시,11B20502,11B00000,4136000000
경기 동두천시,경기,동두천시,11B20401,11B00000,4125000000
경기 부천시,경기,부천시,11B20204,11B00000,4119500000
경기 성남시,경기,성남시,11B20605,11B00000,4113100000
경기 수원시,경기,수원시,11B20601,11B00000,4111100000
경기 시흥시,경기,시흥시,11B20202,11B00000,4139000000
경기 안산시,경기,안산시,11B20203,11B00000,4127100000
경기 안성시,경기,안성시,11B20611,11B00000,4155000000
경기 안양시,경기,안양시,11B20602,11B00000,4117100000
경기 양주시,경기,양주시,11B20304,11B00000,4163000000
경기 양평군,경기,양평군,11B20503,11B00000,4183000000
경기 여주시,경기,여주시,11B20703,11B00000,4167000000
경기 연천군,경기,연천군,11B20402,11B00000,4180000000
경기 오산시,경기,오산시,11B20603,11B00000,4137000000
경기 용인시,경기,용인시,11B20612,11B00000,4146100000
경기 의왕시,경기,의왕시,11B20609,11B00000,4143000000
경기 의정부시,경기,의정부시,11B20301,11B00000,4115000000
경기 이천시,경기,이천시,11B20701,11B00000,4150000000
경기 파주시,경기,파주시,11B20305,11B00000,4148000000
경기 평택시,경기,평택시,11B20606,11B00000,4122000000
경기 포천시,경기,포천시,11B20403,11B00000,4165000000
경기 하남시,경기,하남시,11B20504,11B00000,4145000000
경기 화성시,경기,화성시,11B20604,11B00000,4159000000
경남 거제시,경남,거제시,11H20403,11H20000,4831000000
경남 거창군,경남,거창군,11H20502,11H20000,4888000000
경남 김해시,경남,김해시,11H20304,11H20000,4825000000
경남 남해군,경남,남해군,11H20405,11H20000,4884000000
경남 밀양시,경남,밀양시,11H20601,11H20000,4827000000
경남 사천시,경남,사천시,11H20402,11H20000,4824000000
경남 산청군,경남,산청군,11H20703,11H20000,4886000000
경남 양산시,경남,양산시,11H20102,11H20000,4833000000
경남 의령군,경남,의령군,11H20602,11H20000,4872000000
경남 진주시,경남,진주시,11H20701,11H20000,4817000000
경남 창녕군,경남,창녕군,11H20604,11H20000,4874000000
경남 창원시,경남,창원시,11H20301,11H20000,4812100000
경남 통영시,경남,통영시,11H20401,11H20000,4822000000
경남 하동군,경남,하동군,11H20704,11H20000,4885000000
경남 함안군,경남,함안군,11H20603,11H20000,4873000000
경남 함양군,경남,함양군,11H20501,11H20000,4887000000
경남 합천군,경남,합천군,11H20503,11H20000,4889000000
경북 경산시,경북,경산시,11H10703,11H10000,4729000000
경북 경주시,경북,경주시,11H10202,11H10000,4713000000
경북 고령군,경북,고령군,11H10604,11H10000,4783000000
경북 구미시,경북,구미시,11H10602,11H10000,4719000000
경북 군위군,경북,군위군,11H10603,11H10000,4772000000
경북 김천시,경북,김천시,11H10601,11H10000,4715000000
경북 문경시,경북,문경시,11H10301,11H10000,4728000000
경북 봉화군,경북,봉화군,11H10402,11H10000,4792000000
경북 상주시,경북,상주시,11H10302,11H10000,4725000000
경북 성주군,경북,성주군,11H10605,11H10000,4784000000
경북 안동시,경북,안동시,11H10501,11H10000,4717000000
경북 영덕군,경북,영덕군,11H10102,11H10000,4777000000
경북 영양군,경북,영양군,11H10403,11H10000,4776000000
경북 영주시,경북,영주시,11H10401,11H10000,4721000000
경북 영천시,경북,영천시,11H10702,11H10000,4723000000
경북 예천군,경북,예천군,11H10303,11H10000,4790000000
경북 울릉군,경북,울릉군,,,4794000000
경북 울진군,경북,울진군,11H10101,11H10000,4793000000
경북 의성군,경북,의성군,11H10502,11H10000,4773000000
경북 청도군,경북,청도군,11H10704,11H10000,4782000000
경북 청송군,경북,청송군,11H10503,11H10000,4775000000
경북 칠곡군,경북,칠곡군,11H10705,11H10000,4785000000
경북 포항시,경북,포항시,11H10201,11H10000,4711100000
광주 광산구,광주,광산구,,,2920000000
대구 달서구,대구,달서구,,,2729000000
대구 달성군,대구,달성군,,,2771000000
백령도,,,11A00101,,
서울,,,11B10101,11B00000,
인천,,,11B20201,11B00000,
추풍령,,,11C10401,11C10000,
대전,,,11C20401,11C20000,
세종,,,11C20404,11C20000,
대관령,,,11D20201,11D20000,
울릉도,,,11E10102,,
독도,,,11E10103,,
순천시,,,11F20405,11F20000,
흑산도,,,11F20701,11F20000,
성산,,,11G00101,11G00000,
성판악,,,11G00302,11G00000,
고산,,,11G00501,11G00000,
이어도,,,11G00601,11G00000,
추자도,,,11G00800,11G00000,
대구,,,11H10701,11H10000,
